Gen Number, Mean Fitness
0,0.018981076412882485
1,0.01911230038523686
2,0.01682566477209431
3,0.024282384151026327
4,0.06415952760507332
5,0.07242462933159313
6,0.11977538125584622
7,0.14001262662639816
8,0.14295742439682033
9,0.14864899389226538
10,0.24142434097698812
11,0.27164440040757276
12,0.24001673440686716
13,0.25321921708810047
14,0.16423531370699423
15,0.20534894657036543
16,0.14342363152179277
17,0.16843798736205445
18,0.1615553584633039
19,0.15027453640386151
20,0.18735859434102625
21,0.24539414419917865
22,0.15886082970175322
23,0.15166376279594546
24,0.14677152231651133
25,0.1569408536419945
26,0.15370796059740088
27,0.2648094866521657
28,0.15974371864418335
29,0.15791250563469308
30,0.17608969450033857
31,0.15738783359996264
32,0.1619273647351776
33,0.17239139804123926
34,0.16563864313545315
35,0.2621416478778954
36,0.1436319684550927
37,0.15886123071234773
38,0.13701152717005993
39,0.17004657936320128
40,0.1809881009579864
41,0.16992076700381292
42,0.17884814865204182
43,0.21972200193804511
44,0.20301132286240975
45,0.2054111588896414
46,0.13633214270754032
47,0.17894637223675153
48,0.31601885369807614
49,0.3319559749756424
50,0.2718516475664893
51,0.249070219245236
52,0.24449963175015094
53,0.20245591064371257
54,0.24064306816942635
55,0.21462093254299056
56,0.1436312749344582
57,0.20080529073590028
58,0.2748914960837185
59,0.22986941993957372
60,0.2361372919511066
61,0.18633951817313438
62,0.26956464760662785
63,0.18944137076488726
64,0.1864015422478525
65,0.18642933299159758
66,0.18929206028402318
67,0.19400439888268295
68,0.2001700798899889
69,0.2308909001155766
70,0.19433621257861963
71,0.20159896788360793
72,0.18579496365727946
73,0.32635557617402666
74,0.32366665701904185
75,0.3705234722126386
76,0.35276621293739463
77,0.44160292986705496
78,0.3739800379013376
79,0.4291103318444109
80,0.2900315526055465
81,0.3158498953531919
82,0.2933646886250981
83,0.3370025065641309
84,0.23166160579569323
85,0.24378990255554817
86,0.2092377923119793
87,0.25754339711751306
88,0.18534557875032173
89,0.34951762917105517
90,0.40604751129502337
91,0.3169229541798807
92,0.3699297350935106
93,0.3203483731020363
94,0.4879010737519137
95,0.40440950289345273
96,0.5158858992361641
97,0.5958547148010582
98,0.5585244478541374
99,0.6017955132810057
100,0.6532769470512689
101,0.5249685982154124
102,0.4858976120820945
103,0.34742133168510186
104,0.4134532621709476
105,0.5492715375911231
106,0.2391087492539
107,0.303253010872763
108,0.3773682497360503
109,0.3832851988290532
110,0.43178434502079577
111,0.5150834472337102
112,0.4182473308507049
113,0.3804042196057623
114,0.4275487165104094
115,0.526307399439423
116,0.6321585102286892
117,0.5793064263166633
118,0.5716650187629833
119,0.5641295782662867
120,0.4252758447968993
121,0.38362815566740427
122,0.30653032521238
123,0.2895135120694902
124,0.14823722227374647
125,0.20696938178989707
126,0.19333082730382986
127,0.25186041535503756
128,0.35334682543986035
129,0.3627542925414512
130,0.4156036911510176
131,0.42714336496015876
132,0.5309547817645092
133,0.4937875311086034
134,0.6511925024392229
135,0.5742624676170502
136,0.5283302882615285
137,0.42584018340248725
138,0.1894377510733468
139,0.2822719262811573
140,0.29122900183305817
141,0.18911760591812352
142,0.2509556735465388
143,0.23572721823331522
144,0.28003469162721756
145,0.3209690349447975
146,0.231363051767043
147,0.2653223750452245
148,0.282530717591956
149,0.19735766106771196
150,0.1973936926436606
151,0.31639276802750255
152,0.39684233198960867
153,0.31450998889116366
154,0.34086726375492304
155,0.3147138742061841
156,0.5258511274860537
157,0.29515832423417204
158,0.49841735386400143
159,0.4508866339048036
160,0.2997361274240184
161,0.1906152674921782
162,0.41927097308240835
163,0.4378842926702256
164,0.39263298955173753
165,0.2793992818229777
166,0.3896541318867249
167,0.49195446738183
168,0.5048586848865992
169,0.5213897180121216
170,0.6444940733896038
171,0.6003971032945117
172,0.4393878395749959
173,0.5655171837749335
174,0.4589136939160672
175,0.3224744382201087
176,0.380829822752841
177,0.3860416029701802
178,0.2128278297092147
179,0.44029452361801713
180,0.4935652632556221
181,0.628271008647358
182,0.5674889436350989
183,0.46760861674825893
184,0.4541407681494884
185,0.4708129387859361
186,0.42991442082187764
187,0.43364115100914147
188,0.5929830720087691
189,0.6281055197493217
190,0.45139346547160325
191,0.5383356839692814
192,0.45715462273236496
193,0.37215260842575765
194,0.3791036716299628
195,0.4741599558020474
196,0.5462461616229272
197,0.5018441759215297
198,0.47387382437816117
199,0.5308128850192102
200,0.4888089834174568
201,0.35737928486148357
202,0.5103057066806458
203,0.5037424632955332
204,0.6353006430425563
205,0.5975139371560386
206,0.5706031143279935
207,0.5017034340789092
208,0.3583861619393553
209,0.37381636241842836
210,0.40302735097186826
211,0.32916111655075114
212,0.37436535005551425
213,0.28863438047384277
214,0.37822839101520256
215,0.36035312973092287
216,0.2970906478640587
217,0.20181072761271576
218,0.2697319653190469
219,0.28779761841274326
220,0.1981386722135325
221,0.2427685712377694
222,0.3050797285207655
223,0.2873552514970338
224,0.3429255553862617
225,0.25921129033062457
226,0.2794211890694415
227,0.44880820647388553
228,0.4463132515564481
229,0.4081763918518969
230,0.5307271075176322
231,0.4397824682758521
232,0.3974008795519373
233,0.2578499700396405
234,0.4512440100088667
235,0.23821564127498931
236,0.3457413307879253
237,0.4620221474099777
238,0.426172959326754
239,0.26557180201918
240,0.41259656508861803
241,0.40185101033197174
242,0.22369460034010147
243,0.27088114447838885
244,0.44493617477315206
245,0.47341186338193053
246,0.3799706438422776
247,0.42839878483909855
248,0.41287616522396187
249,0.29072066564990884
250,0.23987691557820434
251,0.36137207550947276
252,0.36438736974918967
253,0.27938375505117297
254,0.3294189148199629
255,0.44445735497814026
256,0.2914167922801984
257,0.32635039598060217
258,0.3456946527509648
259,0.27865318611534373
260,0.3681291849417957
261,0.4871933178834801
262,0.49746862538063025
263,0.5308508090651658
264,0.5030904670077431
265,0.427902362618099
266,0.38763764465287254
267,0.39685871170566
268,0.4283033471597667
269,0.3449734678097195
270,0.410645513790094
271,0.46045412337136005
272,0.33642529430688634
273,0.46921355160331785
274,0.47429463059825006
275,0.5749719053053457
276,0.6045689308291158
277,0.6494118000124258
278,0.328621230094513
279,0.3592701509517896
280,0.46358650165511317
281,0.5091391584229905
282,0.422493329120741
283,0.5276626160441653
284,0.3318092527638987
285,0.4567714689503015
286,0.36202234887023144
287,0.24207503567469799
288,0.1998016318031129
289,0.2515922447148598
290,0.40421052549735814
