Gen,Individual,Weights
104,1637,"[-0.043621383491984744, 0.07145413568572226, -1, 0.3010024940572799, 0.5976408592119722, 0.8762950694381357, -1, -0.09577434796970619, 0.955340669001795, 0.24301711129691567, -0.756754061100468, -0.7719266165011337, 0.5377076746054196, -1, 0.9969978025526554, -1, 0.8874557601884197, -1, 0.8548485406744881, -0.362445586493663, -0.18512840744961911, 0.16594878006229025]"
199,3125,"[0.5869619680235721, -0.9795696539104428, -0.7916821602783721, -0.8441546725546328, 0.9751658354941617, 0.8985716428667162, -0.9442268592130283, -0.38396608524310544, -0.3388930258220551, 0.8701585973687939, -0.7898464989766424, -0.5841368400625375, -0.7755439089406573, -0.9136484460226939, 0.8993666743270459, -0.9850006322087818, -0.9651707424083783, 0.07213926100975632, 0.9708071331851227, 0.44505857270231775, -0.5687979394377852, 0.9698723162524023]"
456,7221,"[-0.9484698409854921, 0.6598759107773684, -0.5095500921534255, -0.8614541022863407, 0.7987480117135004, 0.5916484153637585, -0.30942366969565094, -0.24405961604694743, -0.9012619357772516, 0.730737112752867, -0.028453911870992263, -1.0, -0.8881204985511026, -0.6769560352517451, 0.1136556914717895, 0.2887521061208912, -0.05115651031046836, -0.9905591879847275, 1.0, -0.5318621298911128, 0.9941904945064516, 0.21732206108884689]"
