Gen Number,Black Line Percentage
0,0.1433141394753679
1,0.1433141394753679
2,0.1625079974408189
3,0.4267434420985285
4,0.1228406909788867
5,0.1733845169545745
6,0.0
7,0.2795905310300703
8,0.0
9,0.0806142034548944
10,0.1567498400511836
11,0.0588611644273832
12,0.9321817018554064
13,0.3039027511196417
14,0.0460652591170825
15,0.1260396673064619
16,0.0876519513755598
17,0.3877159309021113
18,0.0838131797824696
19,0.1158029430582213
20,0.2623160588611644
21,0.1177223288547664
22,0.1413947536788228
23,0.0
24,0.0543825975687779
25,0.1490722968650032
26,0.0345489443378119
27,0.1004478566858605
28,0.3602047344849648
29,0.1893793985924504
30,0.1445937300063979
31,0.4459373000639795
32,0.1983365323096609
33,0.8131797824696098
34,0.1817018554062699
35,0.0
36,0.0
37,0.8777991042866283
38,0.2328854766474728
39,0.0
40,0.2021753039027511
41,0.854766474728087
42,0.1887396033269353
43,0.8598848368522073
44,0.0
45,0.1311580294305822
46,0.0
47,0.1842610364683301
48,0.4293026231605886
49,0.2348048624440179
50,0.1062060140754958
51,0.3237364043506078
52,0.1439539347408829
53,0.1868202175303902
54,0.2354446577095329
55,0.582853486884197
56,0.1849008317338451
57,0.2034548944337812
58,0.600127959053103
59,0.3250159948816378
60,0.2200895713371721
61,0.1362763915547025
62,0.3966730646193218
63,0.1817018554062699
64,0.9213051823416508
65,0.1983365323096609
66,0.1055662188099808
67,0.1490722968650032
68,0.2418426103646833
69,0.9411388355726168
70,0.2603966730646193
71,0.2450415866922584
72,0.9008317338451696
73,0.8291746641074856
74,0.5137555982085733
75,0.2143314139475368
76,0.1689059500959693
77,0.4836852207293666
78,0.4766474728087012
79,0.2399232245681382
80,0.3934740882917466
81,0.8854766474728087
82,0.2968650031989763
83,0.2412028150991682
84,0.1938579654510556
85,0.2412028150991682
86,0.072936660268714
87,0.2527191298784389
88,0.2348048624440179
89,0.3422904670505438
90,0.2226487523992322
91,0.2783109404990403
92,0.1964171465131158
93,0.2252079334612924
94,0.8246960972488804
95,0.1337172104926423
96,0.1170825335892514
97,0.1964171465131158
98,0.272552783109405
99,0.1887396033269353
100,0.1944977607165707
101,0.2162507997440819
102,0.2245681381957773
103,0.1855406269993602
104,0.272552783109405
105,0.1618682021753039
106,0.0
107,0.1701855406269993
108,0.2207293666026871
109,0.0396673064619321
110,0.0595009596928982
111,0.2482405630198336
112,0.0255918106206014
113,0.164427383237364
114,0.0934101087651951
115,0.1772232885476647
116,0.1785028790786948
117,0.1375559820857325
118,0.3083813179782469
119,0.1957773512476007
120,0.2687140115163148
121,0.7607165706973769
122,0.2168905950095969
123,0.2124120281509917
124,0.1829814459373
125,0.1689059500959693
