Gen Number,ID,Fitness,Weights,Diversity,Black Line Percentage
0,1,0.038057848423744954,"[-0.9075348701318955, 0.427041307035708, -0.20846129009641245, 0.31928496245815063, 0.3298355014870433, -0.4461230489276158]",0.5350878063813936,0.0
0,2,0.036630744691338306,"[-0.6920253084911796, -0.5823079599248215, -0.3438892402549747, -0.3295741089283759, 0.8473638743682963, 0.042241406544992754]",0.5350878063813936,0.0
0,3,0.03567855625335644,"[-0.4274488864852577, -0.7342674482619236, 0.6606242546316716, 0.5157146455879493, 0.5991687769409737, -0.17126387065070725]",0.5350878063813936,0.0
0,4,0.037981507951935764,"[-0.40192531491264205, 0.15290298477104747, 0.8419872826959682, 0.9286529026529118, -0.7434592133879916, -0.36755859300055804]",0.5350878063813936,0.0
0,5,0.04293590563755959,"[-0.2149763633527697, -0.3077721576229857, -0.9444444122184015, -0.08917823268603398, -0.5940875506985956, 0.49567427265481756]",0.5350878063813936,0.0
0,6,0.093920609980524,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]",0.5350878063813936,0.0
0,7,0.08923063175788193,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]",0.5350878063813936,0.0
0,8,0.05599284439215829,"[0.4276412056239227, 0.24048943737896789, -0.22628075171383522, -0.09458240517373073, 0.4735422664683244, 0.7719745209025051]",0.5350878063813936,0.0
0,9,0.038006021296358494,"[0.757731966508038, 0.6948162797311697, 0.6147602644741625, -0.33760352580157305, 0.5403995840119269, -0.5868976798517813]",0.5350878063813936,0.0
0,10,0.07919939770980804,"[0.21745511819155028, 0.04119066021921847, 0.9640961409486914, 0.9062911008054382, 0.6209950131921393, 0.5280166734458356]",0.5350878063813936,0.0
0,11,0.042108490807629614,"[0.06300662750905683, -0.9530412839271918, 0.8677135620616538, -0.5290004847096683, 0.039596332439964854, -0.6762188162066931]",0.5350878063813936,0.0
0,12,0.04160244323900126,"[0.2524634027104953, -0.13584124743963621, -0.07499042149407886, -0.6528000314895495, -0.74498488107133, -0.29748102405423604]",0.5350878063813936,0.0
0,13,0.03492139718544807,"[-0.9712149185838566, -0.07264869764685478, 0.32106465580200805, 0.8757693307496446, 0.4333216965938087, -0.7455275601049973]",0.5350878063813936,0.0
0,14,0.04295171583566934,"[0.5161627180434749, -0.8314365181043739, 0.46383755316350017, 0.8971208119309422, -0.055238242586997055, 0.3800681114103073]",0.5350878063813936,0.0
0,15,0.04780464581124245,"[-0.7268631471312768, 0.32884774675020245, 0.8553996988578756, 0.5349944501518094, 0.7944124939725488, 0.43254428286829905]",0.5350878063813936,0.0
0,16,0.04112109472604591,"[-0.6771419158407068, 0.044810399748886676, 0.7151172409477486, 0.5764561380775794, 0.942351626065868, 0.801076012935142]",0.5350878063813936,0.0
0,17,0.05018168681436503,"[-0.30408556043232005, -0.3671811483328995, 0.9750195937878834, -0.03731424912608072, 0.8567272281423037, 0.13546897608599529]",0.5350878063813936,0.0
0,18,0.09868486979419919,"[-0.16618434482262012, 0.6801886695840864, 0.8815589405022968, 0.7161390666596863, 0.9632192963577038, -0.7332379154767481]",0.5350878063813936,0.0
0,19,0.03549413800815711,"[0.3473295406216448, -0.17711473373016484, 0.18574227266607202, 0.664185046318265, -0.7751160257637693, -0.44841300289047936]",0.5350878063813936,0.0
0,20,0.10003190818168173,"[-0.4020312075611201, 0.9166337741994861, 0.5751317711872077, 0.4001790051072265, 0.58127641392104, 0.6154267335738006]",0.5350878063813936,0.0
1,6,0.09843538522429866,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]",0.5262211644719187,0.0
1,7,0.0915406068075058,"[0.9465410350652583, 0.03410227197040472, -0.3221459960747972, 0.3236281568033259, -0.21629403336058517, 0.3198799950840343]",0.5262211644719187,0.0
1,18,0.10027756839275641,"[-0.16618434482262012, 0.6801886695840864, 0.8815589405022968, 0.7161390666596863, 0.9632192963577038, -0.7332379154767481]",0.5262211644719187,0.0
1,20,0.1001471025883673,"[-0.4020312075611201, 0.9166337741994861, 0.5751317711872077, 0.4001790051072265, 0.58127641392104, 0.6154267335738006]",0.5262211644719187,0.0
1,21,0.06049284121687016,"[-0.3118552841119527, 0.6943163191380122, 0.10332620569478024, 0.5209861678259433, 0.7273120733682097, -0.025583688691071166]",0.5262211644719187,0.0
1,22,0.07505491851327743,"[-0.16675804102563263, 0.6787664741544257, 1, 0.806806979150076, 1, -1]",0.5262211644719187,0.0
1,23,0.09533857765254326,"[0.09578699331072499, 0.5331022819711436, -0.029754997690755285, 0.36484532465163255, -0.5120789009931754, 0.5492733980606506]",0.5262211644719187,0.0
1,24,0.06066355377753917,"[-0.13827935262579621, -0.17227717570298817, 1, 1, 0.0012740550351624247, 0.5690543145171387]",0.5262211644719187,0.0
1,25,0.05134402408383328,"[0.4967612833289528, 0.30602920326966526, -0.6177383611313918, -0.42372148070100546, 0.32122169330663186, 0.8522005034066152]",0.5262211644719187,0.0
1,26,0.04431459716705567,"[-0.5731101279044699, -0.5905955757806958, 1, -0.01625920286382273, 0.9976079138821103, -0.0985468298558703]",0.5262211644719187,0.0
1,27,0.05323444209303446,"[-0.4553145068301715, -0.1182093017226166, 0.932231160229394, 0.1674024726895172, 0.8344370408427946, 0.24173379962191424]",0.5262211644719187,0.0
1,28,0.05592487080590752,"[0.0068790784651899806, 0.2840312050470397, 0.24712103043222067, 0.7487529970036221, 0.2928745615054445, 0.4015682718977184]",0.5262211644719187,0.0
1,29,0.04763149920144385,"[0.4767710719125286, -0.8032230061962453, 0.3879634188921128, 0.9601727026850817, -0.08426987528607546, 0.3862966349705639]",0.5262211644719187,0.0
1,30,0.057834046251208054,"[-0.14882487441452036, -0.5848976459574056, -0.5132059834990949, -0.1938425387622255, -0.4432900783215048, 0.21679939450385113]",0.5262211644719187,0.0
1,31,0.046161636581550085,"[0.04829449234445729, -1, 0.9409185894961811, -0.5193869163186449, 0.100522445261799, -0.7056294381502184]",0.5262211644719187,0.0
1,32,0.04569422114495499,"[0.5717719594963862, -0.19789297583837387, -0.34638316459172697, -1, -1, -0.6748225205236779]",0.5262211644719187,0.0
1,33,0.04731725338924433,"[-0.08543441550248021, 0.06729553170053794, 0.11000035412625986, 0.5613277753321121, 0.906319725920927, -0.013916559237160286]",0.5262211644719187,0.0
1,34,0.046550408859363734,"[0.01741295200552312, 0.5757729531407383, 0.24878494052751038, -0.045574027845723536, 0.4467902052417463, -0.5243142345205706]",0.5262211644719187,0.0
1,35,0.04593472361634829,"[0.8271484989683369, 0.5701373793175213, 0.6011585634035435, -0.41340103242455467, 0.6172507600550513, -0.6000272131079925]",0.5262211644719187,0.0
1,36,0.043883952313353514,"[-0.8142745213056637, -0.323682623941393, 0.07326683773284379, 0.11303271835198536, 0.28775964305294477, -0.10191404072234773]",0.5262211644719187,0.0
2,6,0.04951136573306781,"[-0.16404120364130415, 0.685501526070116, 0.05954393265396729, 0.37743343106063465, -0.6024143505717328, 0.6193322768467964]",0.5528426419349635,0.0
2,18,0.04639616584741922,"[-0.16618434482262012, 0.6801886695840864, 0.8815589405022968, 0.7161390666596863, 0.9632192963577038, -0.7332379154767481]",0.5528426419349635,0.0
2,20,0.04987809495629157,"[-0.4020312075611201, 0.9166337741994861, 0.5751317711872077, 0.4001790051072265, 0.58127641392104, 0.6154267335738006]",0.5528426419349635,0.0
2,23,0.04382953481417187,"[0.09578699331072499, 0.5331022819711436, -0.029754997690755285, 0.36484532465163255, -0.5120789009931754, 0.5492733980606506]",0.5528426419349635,0.0
2,37,0.026011611492228685,"[0.6222389073456752, 0.3619411802079099, -0.8220146328830163, -0.5016279141356984, 0.253583125995734, 0.9326561901533837]",0.5528426419349635,0.0
2,38,0.022206568508908058,"[0.4885650920547821, -0.508762409234282, -0.2053903382848651, 0.14368929820278142, 0.1549660001067731, 0.6611751489703687]",0.5528426419349635,0.0
2,39,0.02140598137729556,"[-0.07130380871186748, -0.7998462171045851, 0.38688518493829765, 0.04106934356644243, -0.08042732396287264, 0.3847441860683219]",0.5528426419349635,0.0
2,40,0.03578669333008154,"[-0.01186649070414697, 0.43101537799852013, 0.2092745918916597, 0.12720381768501515, 0.5776128854924704, -0.37900998556693066]",0.5528426419349635,0.0
2,41,0.024323691397279534,"[0.05558834886242601, -1, 1, -0.6312959463396868, 0.018738074068761074, -0.7484539561401321]",0.5528426419349635,0.0
2,42,0.02110825484931872,"[0.3834065736346105, 0.3693372177856087, 0.5560737937281292, -0.3993371379188855, 0.010493108159648545, -0.5860142285671274]",0.5528426419349635,0.0
2,43,0.02108451974315296,"[0.7686943801249424, 0.394339955840616, 0.3842720910132541, -0.8635537392041719, 0.2470720101851509, -0.6171473988448851]",0.5528426419349635,0.0
2,44,0.02175425007323577,"[-0.8661546128290301, -0.6911118930460743, 1, 0.6077837037311684, 1, 0.2553762100578929]",0.5528426419349635,0.0
2,45,0.02124596136470967,"[-0.47223377748541717, -0.702242258283835, 1, -0.07034055777271807, 0.2865191043432994, -0.09713836346283791]",0.5528426419349635,0.0
2,46,0.10004153893686013,"[0.16434442779905395, -0.10449726950587215, 1, 1, -0.7865618861161541, 0.8694277337599862]",0.5528426419349635,0.0
2,47,0.029702640850672635,"[-0.10832004720978032, -0.32185171038174787, 1, 1, -0.20460062105594587, 0.67168917522365]",0.5528426419349635,0.010876519513755598
2,48,0.055153286028404,"[0.23698049848072705, -0.9814817866492394, -0.7786593704764895, -0.5016183606874447, -0.9473031881241869, 0.321159574731007]",0.5528426419349635,0.0
2,49,0.05102572227843979,"[0.0494452013010003, -0.9706495380244251, -0.8507452237655819, -0.6122979864726865, -0.7701026848517359, 0.13477318031221439]",0.5528426419349635,0.0
2,50,0.026377969556965284,"[-0.404809486162806, -0.07425550021178254, 0.8573675049003918, 0.2309280627876676, 0.7752591874891533, 0.2591993023516596]",0.5528426419349635,0.0
2,51,0.022163738486131443,"[0.1671684424625793, 0.15916487218322975, -0.4658724653313777, -0.32293394921523993, 0.4988883308989983, 0.6408670599618427]",0.5528426419349635,0.0
2,52,0.026698994935261993,"[0.49528729942132127, 0.297973564567214, -0.5435826551835736, -0.3216796506431167, 0.2913226575067971, 0.817846949546059]",0.5528426419349635,0.0
