timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
2000,0.0003,0,0,0,0,0,0,0,0,1,0.2,144.72727272727272,-20.046158005327587
4000,0.0003,-2.8185467463731766,0.008800359,0.20540809631347656,-0.0082716000319665,0.10639999973587692,0.6304538992419839,0.01982790231704712,0.9837685227394104,10,0.2,163.17391304347825,-22.585498042758108
6000,0.0003,-2.7903055006265642,0.010978251,0.27332472801208496,-0.009406911798944657,0.12219999969005585,0.9502072871476411,0.27813130617141724,0.9699242115020752,20,0.2,164.66666666666666,-22.186723842850423
8000,0.0003,-2.765880531668663,0.009866726,1.5102726221084595,-0.009547504901512002,0.10114999941550196,1.7384649197757245,0.30266427993774414,0.9600117206573486,30,0.2,150.33962264150944,-19.467813499182743
10000,0.0003,-2.741506133079529,0.0073078945,1.697501301765442,-0.007089964951373258,0.06894999939948321,3.3004341244697573,0.4059646725654602,0.9448487758636475,40,0.2,138.77777777777777,-16.653296033224436
12000,0.0003,-2.7179561686515807,0.008498991,2.281528949737549,-0.011422327255715393,0.0940999997407198,5.104315031766891,0.5220130681991577,0.9390324354171753,50,0.2,141.32142857142858,-14.796943308152262
14000,0.0003,-2.694039125442505,0.009803591,1.5825352668762207,-0.013775107040030708,0.11099999937228859,4.166949326395988,0.6824297904968262,0.9215106964111328,60,0.2,134.80582524271844,-11.988170142440794
16000,0.0003,-2.656859117746353,0.008159237,2.929999828338623,-0.011462310424066527,0.10154999969527126,7.039143995642662,0.604684591293335,0.9058051109313965,70,0.2,137.33620689655172,-9.92698646532573
18000,0.0003,-2.6312127047777176,0.010276834,3.2798757553100586,-0.011741343238145964,0.1148999997228384,8.227808158397675,0.6336889266967773,0.898329496383667,80,0.2,135.07575757575756,-7.918827615569512
20000,0.0003,-2.618325135111809,0.00665431,6.554908275604248,-0.006055284700606806,0.05454999924637377,11.884406260252,0.6043360233306885,0.8963750600814819,90,0.2,133.89864864864865,-6.225393564317542
