timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
2000,0.0003,0,0,0,0,0,0,0,0,1,0.2,274.42857142857144,-38.34381648773103
4000,0.0003,-2.838020276427269,0.014070168,0.18532481789588928,-0.020501907803052742,0.22325000012293458,0.6231151736527681,-0.008818387985229492,0.9979287385940552,10,0.2,227.58823529411765,-31.187444766955338
6000,0.0003,-2.8339121133089065,0.009882413,0.15368753671646118,-0.012624834029260458,0.1538499996997416,0.867303475625813,0.15458351373672485,0.9959195852279663,20,0.2,196.56666666666666,-26.57462446612277
8000,0.0003,-2.8242427921295166,0.0055183936,0.5608983635902405,-0.0070443325523985665,0.0534999992698431,1.7688677589595319,0.46368855237960815,0.9896813035011292,30,0.2,169.82978723404256,-24.307212895397548
10000,0.0003,-2.8122668480873108,0.004827672,1.162443995475769,-0.004913832043343973,0.054399999305605885,3.6502185919880867,0.5741161704063416,0.9840884804725647,40,0.2,159.86885245901638,-22.15617777630574
12000,0.0003,-2.8099569219350813,0.0062587364,1.7879247665405273,-0.009334736613744826,0.08114999935030937,2.9407373595237734,0.4826533794403076,0.9853129982948303,50,0.2,142.54761904761904,-18.106916381598992
14000,0.0003,-2.788843026161194,0.00928649,1.5349268913269043,-0.011064978431631971,0.10474999972619116,3.5928794422745707,0.5029288530349731,0.9670854806900024,60,0.2,137.56435643564356,-16.066083934263734
16000,0.0003,-2.7459590035676955,0.010606157,1.2619520425796509,-0.010294619562277762,0.11149999964982271,3.0223666462302208,0.5610853433609009,0.9451380968093872,70,0.2,128.26612903225808,-13.689993842168395
18000,0.0003,-2.7131455719470976,0.007118123,1.8238935470581055,-0.007662910490257127,0.07944999956525862,4.546258677244186,0.43760883808135986,0.9337462186813354,80,0.2,124.01379310344828,-11.38992733733598
20000,0.0003,-2.662736389040947,0.010826411,1.6776365041732788,-0.012050406829016537,0.09874999954365193,4.392691405415535,0.504059910774231,0.8994803428649902,90,0.2,118.24260355029585,-9.291729183737136
22000,0.0003,-2.6053158020973206,0.009318983,2.442798137664795,-0.0070975274196131985,0.06624999940395356,5.6293719214200975,0.46756255626678467,0.8824894428253174,100,0.2,114.51041666666667,-7.545420237681374
24000,0.0003,-2.5664412891864776,0.009061149,5.034204483032227,-0.00986339229647469,0.08669999937526882,8.442910262942315,0.41172266006469727,0.864936113357544,110,0.2,116.44660194174757,-5.187978207098526
26000,0.0003,-2.5351167744398118,0.009557886,4.595843315124512,-0.010308788425305465,0.10184999970719218,10.882565041780472,0.46838700771331787,0.8536101579666138,120,0.2,116.29596412556054,-2.7597589707490866
28000,0.0003,-2.507375490665436,0.006172222,6.786589622497559,-0.0033872212085104356,0.03354999947361648,15.514599658250809,0.29734086990356445,0.8411852121353149,130,0.2,115.6198347107438,-1.3361015800049458
30000,0.0003,-2.4767454504966735,0.0071585244,9.69246768951416,-0.008975217885388931,0.0900499995239079,18.733595581054686,0.4992564916610718,0.830062747001648,140,0.2,118.05905511811024,1.162410072660249
32000,0.0003,-2.4463076674938202,0.0074207857,9.818326950073242,-0.005727485870539386,0.06829999936744571,16.60413857102394,0.41877782344818115,0.8157851696014404,150,0.2,117.67037037037036,2.861097246621615
34000,0.0003,-2.417621648311615,0.007637188,10.916539192199707,-0.008889564990728474,0.09064999950118363,28.06035697221756,0.36799561977386475,0.8073137998580933,160,0.2,121.38571428571429,6.186801576112793
36000,0.0003,-2.388070984482765,0.006884946,5.811371803283691,-0.004612419617798901,0.05609999963082373,25.75473208665848,0.2652897834777832,0.7913707494735718,170,0.2,123.26369863013699,8.858304491259885
38000,0.0003,-2.3531021529436114,0.0045223455,13.167834281921387,-0.005680401624239035,0.05219999928958714,35.90532482862473,0.4480922818183899,0.7808654308319092,180,0.2,124.05882352941177,10.985269222638813
40000,0.0003,-2.3182040202617644,0.0037189997,20.86805534362793,-0.004905003251061864,0.05979999938979745,47.90871942520142,0.21440237760543823,0.7646173238754272,190,0.2,127.73482428115015,14.202661828450132
42000,0.0003,-2.2774929571151734,0.0107757775,24.633525848388672,-0.0038195799793881947,0.05389999974519014,26.45578474164009,0.2415928840637207,0.7483746409416199,200,0.2,126.67673716012085,15.683873407443258
44000,0.0003,-2.23946804523468,0.004488211,34.022789001464844,-0.0017829576104973154,0.027949999570846557,67.08281332015991,0.23305368423461914,0.7409718036651611,210,0.2,128.7787610619469,18.105951221855932
46000,0.0003,-2.2116639000177383,0.0095684435,19.491445541381836,-0.0046882995325366215,0.07104999974370002,42.29297467947006,0.3596677780151367,0.726396918296814,220,0.2,130.35042735042734,21.2199174425728
48000,0.0003,-2.1762750428915023,0.0052489806,26.082258224487305,-0.003779534639607842,0.06464999946765601,67.9505003118515,0.23305845260620117,0.7162022590637207,230,0.2,131.9862258953168,24.11765376219319
50000,0.0003,-2.158550714850426,0.0051319213,31.349567413330078,-0.00018404923102816718,0.03619999950751662,76.06102073669433,0.19931238889694214,0.7145997285842896,240,0.2,131.76253298153034,25.905708517801717
52000,0.0003,-2.1412869852781298,0.0069962903,79.67583465576172,-0.004310663316836143,0.059349999353289606,103.26099140167236,0.17118221521377563,0.7043203711509705,250,0.2,131.2379746835443,27.045701697008425
54000,0.0003,-2.110988191962242,0.006883814,70.25825500488281,-0.006498759481346314,0.0932999996189028,96.48341176986695,0.20059698820114136,0.693543553352356,260,0.2,133.02233250620347,29.574273507852926
56000,0.0003,-2.0856911224126815,0.0072590066,19.55438804626465,-0.005970230961111795,0.055999999353662136,50.651321506500246,0.4673313498497009,0.6867917776107788,270,0.2,135.873786407767,33.27816255316162
58000,0.0003,-2.0600131487846376,0.0037441659,22.887359619140625,-0.0028725967593934954,0.03589999955147505,76.55490471839904,0.20802795886993408,0.6747335195541382,280,0.2,136.65721040189126,35.25693810215321
