Gen Number,Fitness
0,0.0034217445496078
1,0.0038440465422068
2,0.0012117356202611
3,0.0030261830020468
4,0.0043645377029793
5,0.0048727482053184
6,0.0048973757869805
7,0.0030101640745118
8,0.0025360411171182
9,0.0037480100554037
10,0.0037785238457925
11,0.0038734269131673
12,0.0036690373795052
13,0.0030806295443769
14,0.0043554021263051
15,0.001365600493579
16,0.001879292811131
17,0.0029463048720951
18,0.0018111744805942
19,0.0025087657437883
20,0.0027313539257395
21,0.0016324911631525
22,0.0017670224797295
23,0.0020506320143611
24,0.0032928834530148
25,0.0019146496804048
26,0.0027193370164264
27,0.0018871935701409
28,0.0041587340253607
29,0.002159186533071
30,0.0019775322796531
31,0.0032373412666379
32,0.0029904097605642
33,0.0025573399224011
34,0.0010941594310399
35,0.0031411308121305
36,0.0026981555999208
37,0.0030414721566326
38,0.003572710657867
39,0.0055490371197035
40,0.0054347271474758
41,0.0037225271728733
42,0.0035350191968274
43,0.0034951972029831
44,0.006096906211705
45,0.0040734492450703
46,0.0027717028347764
47,0.0029966048647618
48,0.0014615893979134
49,0.0035042207289037
50,0.0018503215423496
51,0.0039492038412759
52,0.0024995573690848
53,0.0035292208298662
54,0.0019030035666624
55,0.0046149271032012
56,0.0017181363949986
57,0.0025635055210056
58,0.0031342783126493
59,0.0025646565633336
60,0.0010507545472231
61,0.0010923541249469
62,0.0017064976257274
63,0.0023209826698146
64,0.0014558830393452
65,0.000965272663216
66,0.0052975726273432
67,0.0013188279945316
68,0.0011937574095697
69,0.001755209998586
70,0.0013035995237262
71,0.0007709864417121
72,0.0009364541589265
73,0.0027021867029132
74,0.0009368015612432
75,0.0013675438183429
76,0.0028629013301704
77,0.0016174790159619
78,0.003904978327768
79,0.0035351233348169
80,0.0040103739402293
81,0.0008627409687506
82,0.0021498643079993
83,0.0010438909866183
84,0.0028070144568499
85,0.0025608760433131
86,0.0017726414603132
87,0.0016144854561111
88,0.0007834202608614
89,0.0029239686093121
90,0.002436189632438
91,0.0011888236150555
92,0.0021343544704876
93,0.0015245645929036
94,0.0033611643486934
95,0.0012064050077534
96,0.0047203593742486
97,0.0021553750076289
98,0.0012464416501251
99,0.0016171611496499
100,0.0006558626301357
101,0.0013885256638198
102,0.0060961762051754
103,0.0011829503519291
104,0.0023851496489295
105,0.001873586136853
106,0.0024212231428133
107,0.0008982044781587
108,0.0031240442674483
109,0.0010791292258173
110,0.0030710306569527
111,0.0009884481660787
112,0.0014612129887406
113,0.0019512014691412
114,0.0042270283296864
115,0.0010950199793208
116,0.002020449364077
117,0.0015558183652168
118,0.0015165574263452
119,0.002200096835201
120,0.00085371350721
121,0.0038685818028183
122,0.0035749355631569
123,0.0012359696576339
124,0.0018899718958762
125,0.0013884170429462
126,0.0017076581474756
127,0.0026709107534631
128,0.0021002473550312
129,0.0019615089328084
130,0.0014535151394331
131,0.0015177201899784
132,0.000871014706428
133,0.0008447293787719
134,0.003486212459709
135,0.0020597134070244
136,0.0013451355305887
137,0.0007788593324672
138,0.0009975825233799
139,0.0014085521329949
140,0.0006929002129039
141,0.0015797591824058
142,0.0027332328435085
143,0.0018994095868694
144,0.0012354945767607
145,0.0026962376176598
146,0.0011075255330698
147,0.0020360016553534
148,0.0011380258030735
149,0.002122178080329
150,0.004048696317154
151,0.0014793693975585
152,0.0044841683089101
153,0.0012883178072357
154,0.0026695110344989
155,0.0021419060772306
156,0.0007247211821718
157,0.0030344672684188
158,0.001103614481102
159,0.0019871646844065
160,0.0019356220106191
161,0.0023857744553174
162,0.0025033701186746
163,0.0024352066787536
164,0.0018067228933449
165,0.0028976804552442
166,0.0015865628459998
167,0.001446434343693
168,0.0022816498677163
169,0.0028669564121822
170,0.0024553149403616
171,0.0028025769907245
172,0.0015930422902072
173,0.0014250538395234
174,0.0035327626003838
175,0.0035093648313371
176,0.0060969404313452
177,0.0010719190202703
178,0.0026035621096831
179,0.0012095277675618
180,0.0010548878039312
181,0.0007405360226435
182,0.0012494533998132
183,0.0010099277544185
184,0.0010522255195074
185,0.0024551016012207
186,0.0031363311393094
187,0.0012135111023164
188,0.002872249346193
189,0.0013120358602098
190,0.0009754729556474
191,0.0029880076513749
192,0.0020188059611911
193,0.0039379139639818
194,0.0020811676554629
195,0.0033066670388203
196,0.0025398952882581
197,0.0036937410138622
198,0.0030856716880918
199,0.0034234728562717
200,0.0011540324150871
201,0.0045618309668195
202,0.0023147163233856
203,0.0020725734525179
204,0.002281379652306
205,0.0019337717197574
206,0.0009718260264715
207,0.0019573223268384
208,0.004124393677869
209,0.0013435956845443
210,0.0012117962897475
211,0.0017713071477678
212,0.0018253999765621
213,0.0037051869841017
214,0.002498213463166
215,0.0016430023370985
216,0.0013755949833704
217,0.0037439587239424
218,0.0060915698341976
219,0.0038038910679989
220,0.0047598815338424
221,0.0036486707316409
222,0.0046265956900763
223,0.0014418903463906
224,0.0018238943293748
225,0.0036262553594506
226,0.001828930530632
227,0.0060967059042831
228,0.0028074306913895
229,0.0018264030339007
230,0.0018042715381123
231,0.0014912270456088
232,0.0026901513767803
233,0.0012302346460902
234,0.0022577976232104
235,0.0024981885547577
236,0.001500076117643
237,0.0016097548982824
238,0.0039751791718692
239,0.0030732576040012
240,0.0053584969684809
241,0.0031906320651626
242,0.0025920023721008
243,0.0025403975935628
244,0.0033943114214302
245,0.0042218072412221
246,0.0049752958834094
247,0.0027096672441921
248,0.0041163222523102
249,0.0032383994869094
250,0.0019479167192607
251,0.0024608800419377
252,0.001755179402886
253,0.0029246859181356
254,0.0030642611121948
255,0.0004937069311359
256,0.0021260291810848
257,0.003486005536982
258,0.004707889766839
259,0.003987401018987
260,0.0032364104608207
261,0.0018446535931387
262,0.0052800619182544
263,0.0042386200159347
264,0.0021414366872921
265,0.002885279556077
266,0.0022123325381239
267,0.0030295344372671
268,0.0039016864702986
269,0.0019055977742973
270,0.0019515579005754
271,0.0015948135228287
272,0.0025069811631505
273,0.0034817433145145
274,0.0018324648556664
275,0.0025815865994824
276,0.000939700848222
277,0.0007988525243554
278,0.0030657107147745
279,0.0045569958200527
280,0.0019241886370979
281,0.0022465797448151
282,0.0034110172370961
283,0.0014332987565043
284,0.0011205503071152
285,0.0035656968671461
286,0.0030119350961307
287,0.0012881701044018
288,0.001686314055352
289,0.0009664445258237
290,0.001402351646217
291,0.0009193174442185
