Gen Number,Fitness
0,-0.009639151028743005
1,-0.007296668842401344
2,-0.005963202126152
3,-0.019152886555601677
4,-0.00649614737015744
5,-0.01882176568976198
6,-0.0029464876186086238
7,-0.0032001987051509017
8,-0.007145101053483096
9,-0.015251261502994745
10,-0.005575761557796746
11,-0.004535034642423515
12,-0.00951382547198592
13,-0.005454597388048805
14,-0.012071791672394838
15,-0.007557261721285245
16,-0.002091832966689815
17,-0.004403442264682931
18,-0.0012617102264717906
19,-0.0021978040303343716
20,-0.007335472268573363
21,-0.009782065939983535
22,-0.00199168769578031
23,-0.005300558217538422
24,-0.027787221167077582
25,-0.014591975191321233
26,-0.004899133304743536
27,-0.00998620096622935
28,-0.006766083081721457
29,-0.016269373469179546
30,-0.048613265614618824
31,-0.027429880369157077
32,-0.00708809061894137
33,-0.022780457919329342
34,-0.0221793087515149
35,-0.01985436494960837
36,-0.04328692866105479
37,-0.04714884920079084
38,-0.04761953990898336
39,-0.053199857663282904
40,-0.062279120903912646
41,-0.020007478090487155
42,-0.033784782065267645
43,-0.03694855580119263
44,-0.056216224829071834
45,-0.028246904915859867
46,-0.01981743115226396
47,-0.030085620054294836
48,-0.01212557990733868
49,-0.024459228618286217
50,-0.02214092560733737
51,-0.008617158656019855
52,-0.005014344595054855
53,-0.017278463331394833
54,-0.012974456982395462
55,-0.006416661988531877
56,-0.007083792882055984
57,-0.006553200739125201
58,-0.008674607275379189
59,-0.003958090287139017
60,-0.008553846463037649
61,-0.00595488067185554
62,-0.011888958139861851
63,-0.009730409532445965
64,-0.025693331235817508
65,-0.01793416048792098
66,-0.01547153317369886
67,-0.018005538877298943
68,-0.016626618169101534
69,-0.009073527497149046
70,-0.012494542671693944
71,-0.009580491948657371
72,-0.01516568685342086
73,-0.024559060646707827
74,-0.013083505625559187
75,-0.019858555953857895
76,-0.018076168901420008
77,-0.022592588919763935
78,-0.044702083841259115
79,-0.02316988574757451
80,-0.01437608841464969
81,-0.0151408894355364
82,-0.019259465899931303
83,-0.02059060485202493
84,-0.015914066749561882
85,-0.005417728234801215
86,-0.0046779488557424755
87,-0.014499331906239376
88,-0.015282338466738599
89,-0.00952526582715355
90,-0.018926424023722233
91,-0.024753905046266515
92,-0.02695349506303497
93,-0.01748321781745475
94,-0.05102541807501883
95,-0.0460504724331563
96,-0.03587587011735053
97,-0.03987073255788155
98,-0.04033310530426469
99,-0.022887656753611995
100,-0.018033840184877706
101,-0.02252583431765065
102,-0.08263735556280141
103,-0.0762833607597746
104,-0.023471592803690357
105,-0.03144739732448186
106,-0.044187465364514386
107,-0.03577779379709644
108,-0.018276397928747284
109,-0.02919543963814262
110,-0.048006785918711846
111,-0.02867510408145
112,-0.018670450693708075
113,-0.026685635315745172
114,-0.03340830172202794
115,-0.01684859251603555
116,-0.021355423499542035
117,-0.033285867633292096
118,-0.016539075130571245
119,-0.04019097527143255
120,-0.0836826867603649
121,-0.0898830430651835
122,-0.04521271914690168
123,-0.04233844018558512
124,-0.019806219754524686
125,-0.0276164364640549
126,-0.01800266042868466
127,-0.018205671665826977
128,-0.033022598620116424
129,-0.01564145320538395
130,-0.011619970169218601
131,-0.011017582833439846
132,-0.0215415897560578
133,-0.016751056631805206
134,-0.012799984087295149
135,-0.03333585023014127
136,-0.03645731324626646
137,-0.029408460344337646
138,-0.016341620550704355
139,-0.0244622065136027
140,-0.03886563448258302
141,-0.026693619435698306
142,-0.013549861066718636
143,-0.01997528786810031
144,-0.02581341202140572
145,-0.02795993749948849
146,-0.023118344995386866
147,-0.02853656852032347
148,-0.02477783490843951
149,-0.03242438244645514
150,-0.046346028528894447
151,-0.0491470134110003
152,-0.048149106565265457
153,-0.04166011836675533
154,-0.03937806034966379
155,-0.028747425786593755
156,-0.024290397660367086
157,-0.015491763018840829
158,-0.031856557678108896
159,-0.022270700641088364
160,-0.059918490358662854
161,-0.03933024572807421
162,-0.007548750461845735
163,-0.020202414354240104
164,-0.0357570660647803
165,-0.017698148543496262
166,-0.03002670588771337
167,-0.03482362221603969
168,-0.018857246463024044
169,-0.03734154212319364
170,-0.03650242812542686
171,-0.03554119519458486
172,-0.0404721005353561
173,-0.022129774806803292
174,-0.015119568920718484
175,-0.0244876103316845
176,-0.05178273486849637
177,-0.04561411192874689
178,-0.032631950176561106
179,-0.020819424389394145
