Gen Number,Black Line Percentage
0,0.0543825975687779
1,0.400511836212412
2,0.0882917466410748
3,0.0818937939859245
4,0.6065259117082533
5,0.9488163787587972
6,0.0607805502239283
7,0.9168266154830454
8,0.1561100447856686
9,0.2463211772232885
10,0.0908509277031349
11,0.1132437619961612
12,0.1529110684580934
13,0.9532949456174024
14,0.2341650671785028
15,0.1753039027511196
16,0.1004478566858605
17,0.7504798464491362
18,0.9494561740243124
19,0.0710172744721689
20,0.7786308381317978
21,0.2092130518234165
22,0.7165706973768394
23,0.9564939219449776
24,0.9174664107485604
25,0.1330774152271273
26,0.0671785028790787
27,0.9539347408829176
28,0.1420345489443378
29,0.0607805502239283
30,0.1535508637236084
31,0.3979526551503519
32,0.1605886116442738
33,0.1087651951375559
34,0.0690978886756238
35,0.0243122200895713
36,0.0511836212412028
37,0.0614203454894433
38,0.81829814459373
39,0.1983365323096609
40,0.4088291746641075
41,0.1477927063339731
42,0.0985284708893154
43,0.0690978886756238
44,0.1126039667306462
45,0.200255918106206
46,0.8195777351247601
47,0.1183621241202815
48,0.1196417146513115
49,0.7242482405630198
50,0.0934101087651951
51,0.0492642354446577
52,0.0959692898272552
53,0.9129878438899552
54,0.4427383237364043
55,0.9532949456174024
56,0.9142674344209852
57,0.0748560460652591
58,0.0710172744721689
59,0.9507357645553424
60,0.0531030070377479
61,0.9558541266794626
62,0.1599488163787588
63,0.0754958413307741
64,0.1170825335892514
65,0.9584133077415228
66,0.109404990403071
67,0.1126039667306462
68,0.1829814459373
69,0.9251439539347408
70,0.0806142034548944
71,0.9558541266794626
72,0.0262316058861164
73,0.7108125399872041
74,0.9596928982725528
75,0.0518234165067178
76,0.09149072296865
77,0.889315419065899
78,0.1036468330134357
79,0.0876519513755598
80,0.0294305822136916
81,0.055662188099808
82,0.8400511836212412
83,0.0678182981445937
84,0.0710172744721689
85,0.0563019833653231
86,0.9571337172104928
87,0.0940499040307101
88,0.037747920665387
89,0.945617402431222
90,0.1785028790786948
91,0.7927063339731286
92,0.0806142034548944
93,0.0646193218170185
94,0.0518234165067178
95,0.0953294945617402
96,0.0396673064619321
97,0.1132437619961612
98,0.8822776711452335
99,0.872680742162508
100,0.8138195777351248
101,0.0563019833653231
102,0.0940499040307101
103,0.1247600767754318
104,0.1381957773512476
105,0.1209213051823416
106,0.0524632117722328
107,0.9564939219449776
108,0.9430582213691618
109,0.0607805502239283
110,0.1932181701855406
111,0.0595009596928982
112,0.0607805502239283
113,0.0505438259756877
114,0.2770313499680102
115,0.6871401151631478
116,0.0601407549584133
117,0.9507357645553424
118,0.2789507357645553
119,0.0454254638515674
120,0.0537428023032629
121,0.0614203454894433
122,0.8240563019833653
123,0.6711452335252719
124,0.0607805502239283
125,0.0639795265515035
126,0.0479846449136276
127,0.0684580934101087
128,0.0652591170825335
129,0.0806142034548944
130,0.9564939219449776
131,0.0946896992962252
132,0.9571337172104928
133,0.3218170185540627
134,0.0678182981445937
135,0.9564939219449776
136,0.0518234165067178
137,0.9577735124760076
138,0.055022392834293
139,0.0710172744721689
140,0.1305182341650671
141,0.055662188099808
142,0.1138835572616762
143,0.0799744081893794
144,0.0588611644273832
145,0.0838131797824696
146,0.036468330134357
147,0.0383877159309021
148,0.0435060780550223
149,0.9545745361484324
150,0.074216250799744
151,0.1541906589891234
152,0.7562380038387716
153,0.1241202815099168
154,0.1055662188099808
155,0.0703774792066538
156,0.0575815738963531
157,0.1030070377479206
158,0.1932181701855406
159,0.0716570697376839
160,0.0531030070377479
161,0.0838131797824696
162,0.9584133077415228
163,0.055662188099808
164,0.1004478566858605
165,0.0671785028790787
166,0.0620601407549584
167,0.0569417786308381
168,0.0908509277031349
169,0.0722968650031989
170,0.0690978886756238
171,0.3205374280230326
172,0.145233525271913
173,0.0447856685860524
174,0.0620601407549584
175,0.0479846449136276
176,0.63659628918746
177,0.8835572616762636
178,0.1778630838131797
179,0.0761356365962891
180,0.3544465770953295
181,0.9206653870761357
182,0.037747920665387
183,0.8880358285348688
184,0.9053103007037748
185,0.0825335892514395
186,0.0889315419065898
187,0.0786948176583493
188,0.128598848368522
189,0.5732565579014716
190,0.0601407549584133
191,0.0844529750479846
192,0.0531030070377479
193,0.0786948176583493
194,0.0818937939859245
195,0.0825335892514395
196,0.0818937939859245
197,0.0966090850927703
198,0.1765834932821497
199,0.0607805502239283
200,0.8989123480486244
201,0.072936660268714
202,0.9564939219449776
203,0.0697376839411388
204,0.0985284708893154
205,0.0710172744721689
206,0.0876519513755598
207,0.0658989123480486
208,0.1349968010236724
209,0.0665387076135636
210,0.9564939219449776
211,0.0614203454894433
212,0.8048624440179143
213,0.0882917466410748
214,0.5905310300703774
215,0.0818937939859245
216,0.0786948176583493
217,0.0870121561100447
218,0.1631477927063339
219,0.1202815099168266
220,0.0812539987204094
221,0.1541906589891234
222,0.1132437619961612
223,0.0844529750479846
224,0.8969929622520794
225,0.1074856046065259
226,0.0959692898272552
227,0.90850927703135
228,0.1919385796545105
229,0.5777351247600768
230,0.9558541266794626
231,0.127319257837492
232,0.0690978886756238
233,0.1477927063339731
234,0.1497120921305182
235,0.0690978886756238
236,0.5687779910428663
237,0.9532949456174024
238,0.1567498400511836
239,0.1055662188099808
240,0.0671785028790787
241,0.0620601407549584
242,0.0774152271273192
243,0.1138835572616762
244,0.4030710172744721
245,0.3064619321817018
246,0.4926423544465771
247,0.1861804222648752
248,0.0966090850927703
249,0.9596928982725528
250,0.0844529750479846
251,0.0665387076135636
252,0.1132437619961612
253,0.0716570697376839
254,0.1068458093410108
255,0.1407549584133077
256,0.1477927063339731
257,0.1433141394753679
258,0.110044785668586
259,0.0467050543825975
260,0.344849648112604
261,0.6493921944977608
262,0.9571337172104928
263,0.0767754318618042
264,0.0678182981445937
265,0.0991682661548304
266,0.0607805502239283
267,0.6583493282149712
268,0.1081253998720409
269,0.0505438259756877
270,0.9564939219449776
271,0.1657069737683941
272,0.0684580934101087
273,0.8342930262316058
274,0.0524632117722328
275,0.9571337172104928
276,0.9334612923864364
277,0.092130518234165
278,0.1074856046065259
279,0.1292386436340371
280,0.6014075495841331
281,0.1266794625719769
282,0.0818937939859245
283,0.1324376199616123
284,0.1151631477927063
285,0.9532949456174024
286,0.5220729366602687
287,0.2156110044785668
288,0.0633397312859884
289,0.9309021113243762
290,0.9392194497760716
