Gen Number,Diversity
0,0.5970823979528604
1,0.6078528501746426
2,0.6076281973816958
3,0.5617500875239837
4,0.5760686978748409
5,0.4867809150558055
6,0.4231430450142223
7,0.45358234119351504
8,0.4128173489701945
9,0.45598488481251065
10,0.4716899915604846
11,0.4872573596676541
12,0.5236190252093776
13,0.504706007880063
14,0.4950158187638419
15,0.4800414898445142
16,0.4753832225961223
17,0.4826922535664564
18,0.5403842088422856
19,0.47083105968533123
20,0.4839679846925725
21,0.4144268039397886
22,0.4137228746035884
23,0.42840743647252244
24,0.4134844488840055
25,0.43834429933173513
26,0.4632102811526472
27,0.4591957316136163
28,0.5619205867191098
29,0.5473479916623888
30,0.5729212481253217
31,0.5205757692086911
32,0.4983126661521061
33,0.46652543733942287
34,0.5075788650192962
35,0.5185285354083028
36,0.4927134417909313
37,0.4804477710384948
38,0.45008803937332764
39,0.48705928466390713
40,0.4578493001529429
41,0.4645588140263041
42,0.4385863806782157
43,0.3974276642623366
44,0.4235565646065721
45,0.4473911424359171
46,0.4375483367841667
47,0.4072682177925812
48,0.4121951909907519
49,0.4041229994743511
50,0.4563803736025525
51,0.4335716179191255
52,0.4301952661878278
53,0.45340879430731623
54,0.4393781343066962
55,0.466328831495676
56,0.485067342949546
57,0.47126446233441915
58,0.5068852711395652
59,0.4901659493849073
60,0.504687505011154
61,0.4510653813045469
62,0.4399588477217426
63,0.4137980940042693
64,0.359356015556117
65,0.3896870303233373
66,0.3945538512866239
67,0.3912828963245636
68,0.4254639620640866
69,0.3437916594490326
70,0.372460447163877
71,0.3820131061787542
72,0.4307435841885476
73,0.42254299921371247
74,0.3776921781697469
75,0.3987077211927185
76,0.4252263105266512
77,0.3759334516657684
78,0.4008487952476732
79,0.4449592218761255
80,0.4322921294408421
81,0.40835810423076413
82,0.4033701426340642
83,0.4256298812019764
84,0.49267469398313135
85,0.48355481143658763
86,0.4709288824784762
87,0.4720709017981215
88,0.4722523582908537
89,0.47870532057810833
90,0.4451145512401172
91,0.5096726341677591
92,0.4865194236427607
93,0.530251212717291
94,0.530251212717291
95,0.4401250937695226
96,0.4649476842089835
97,0.49824398440552126
98,0.5380914843212059
99,0.5731475340243165
100,0.5111756688284087
101,0.5311642650804419
102,0.5603819863944116
103,0.4724299542232261
104,0.44569554401764344
105,0.45898000809869177
106,0.3822125930844653
107,0.3785568853302545
108,0.42514641367206457
109,0.3771582633685356
110,0.3529007768675407
111,0.3934433454175871
112,0.4209748231399574
113,0.41521776917583464
114,0.4493307442185204
115,0.46034186052457937
116,0.5029741815413618
117,0.4449097752676116
118,0.4143295636331197
119,0.46789391419276194
120,0.48240318287246897
121,0.48130060141852826
122,0.4480983454866364
123,0.4083636116803575
124,0.3948740710616376
125,0.4120281069348001
126,0.408923658812832
127,0.40359651097575655
128,0.3867111622139058
129,0.4538592411310744
130,0.3903522474853473
131,0.422162961389602
132,0.3984291980463733
133,0.43720063916096985
134,0.3977919220140911
135,0.368578391726732
136,0.3543615567792458
137,0.34518869022092
138,0.3540605199017052
139,0.304524145743929
140,0.3217135231627503
141,0.3333870892902351
142,0.3618561244160396
143,0.3388193597194535
144,0.3349905120667956
145,0.3455590839165951
146,0.3591268008638908
147,0.3875834670503593
148,0.3977666466585183
149,0.44191430790175545
150,0.4271600534910718
151,0.4469468009414393
152,0.3744652684539355
153,0.42548124082378785
154,0.4381024919426662
155,0.4639854950157929
156,0.394294990172772
157,0.4076856489977151
158,0.3836333063481218
159,0.3748182185508941
160,0.3210924321902784
161,0.3975542820439483
162,0.440143691626802
163,0.4114693343253508
164,0.45895169866257374
165,0.44094986983301065
166,0.476293635337451
167,0.454759477762024
168,0.5269743535159218
169,0.4700510619669296
170,0.4786414917373284
171,0.4481481756473656
172,0.4630845578341707
173,0.42124246586851244
174,0.4340764246926893
175,0.40618669404277086
176,0.42954360363868804
177,0.46741895700996955
178,0.5022683241580609
179,0.5602635877024085
180,0.48590044421134043
181,0.5236972845083022
182,0.4735436519122289
183,0.48774584389143316
184,0.44375155670353295
185,0.4248220937922181
186,0.4235024148438423
187,0.4407751470291658
188,0.43132349299399564
189,0.4780219094176158
190,0.5410837894079316
191,0.5262416261388599
192,0.5729463745788622
193,0.5213231856860762
194,0.515691487997458
195,0.4832462483551871
196,0.5138313830011274
197,0.48954891233974374
198,0.4701424362507944
199,0.4660189612087682
200,0.4156904692319623
201,0.3778728951321883
202,0.354849545228305
203,0.3797773660750829
204,0.4036257584845441
205,0.43748258752998204
206,0.3976080434377269
207,0.4258934549738499
208,0.45992215697000194
209,0.4329285432173595
210,0.4178511939775397
211,0.3963883485591896
212,0.414464787919127
213,0.3864154085332776
214,0.4365531032037337
215,0.3535062346179393
216,0.3575854953428958
217,0.3919363340379112
218,0.369726243298965
219,0.3903172963567162
220,0.4330693371428243
221,0.46491184616355613
222,0.465583955298726
223,0.4109373333669497
224,0.44189253340871015
225,0.48226066953448277
226,0.45088215788547964
227,0.4472902107560481
228,0.43255097158339517
229,0.4610471287389452
230,0.4927178822001568
231,0.5332234367402043
232,0.5000392409780774
233,0.4834729218035432
234,0.3378583276444407
235,0.3801715001562083
236,0.3252591520192501
237,0.3224691270948334
238,0.3732242855281542
239,0.3779697856027937
240,0.4114385209607481
241,0.3977026009578092
242,0.46434253786964874
243,0.4685531903878202
244,0.45660555429951255
245,0.45500601971260524
246,0.44914589139046546
247,0.4491680504648616
248,0.4768983296915722
249,0.458467449482583
250,0.3887028883319697
251,0.4209901637590476
252,0.358676768957933
253,0.3557131946554128
254,0.3648467661025834
255,0.3724199057391069
256,0.3044232175649746
257,0.3088593722958467
258,0.3336314093193507
259,0.3865366407097567
260,0.3644331789450808
261,0.4059804465094645
262,0.45107300698965147
263,0.4978776512214109
264,0.471249678089846
265,0.432502247138705
266,0.3932111245573326
267,0.4154160046201767
268,0.4532244693032991
269,0.4931336993542762
270,0.47553405078057515
271,0.4516509597052886
272,0.45398130257731745
273,0.4794644188661194
274,0.47894406199941314
275,0.4507581987127057
276,0.4588041635638419
277,0.5115265544303097
278,0.4599291913664751
279,0.4254953223018198
280,0.3835169962584897
281,0.3832332425052155
282,0.3837773120323101
283,0.3855558626690094
284,0.3979083811216168
285,0.42237465782613526
286,0.4087744190350091
287,0.3968666326897949
288,0.4285396634035162
289,0.45238405433426176
290,0.5070305924130177
291,0.4854636694665658
292,0.5131549839517663
293,0.5311070862289013
294,0.5301018744425513
295,0.512973528887311
296,0.5052333662639336
297,0.5165828630458892
298,0.5386532070099953
299,0.4704829367422321
300,0.5240081859419315
301,0.5539026374189499
302,0.5817889876565602
303,0.5700535674299784
304,0.5391020702570115
305,0.5618489201219833
306,0.5380147729678784
307,0.5577891259050801
308,0.5308417420463932
309,0.5521578568099915
310,0.5531827922476495
311,0.5794484178587589
312,0.58383500184848
313,0.5733827901879008
314,0.5989848216559543
315,0.5510387039664875
316,0.5412591976376059
317,0.5632490362513873
318,0.5510937610980865
319,0.51680226244751
320,0.566409266931479
321,0.5496723018761186
322,0.5264159693236031
323,0.5424317073875988
324,0.5522813223582069
325,0.549221688016703
326,0.5999875272838754
327,0.5427495168566744
328,0.5554887747084373
329,0.5716888396958434
330,0.5746545966916823
331,0.6069568597362146
332,0.5469792976799505
333,0.5021979856935416
334,0.5550121235855726
335,0.584628642365979
336,0.5478150767034092
337,0.5508227409134233
338,0.4824956755061184
339,0.45730766452253147
340,0.4293292413616254
341,0.3581568472876013
342,0.4010988460984861
343,0.4181893456542761
344,0.3985907472756282
345,0.3828496902208805
346,0.4390618247548681
347,0.3837868946841845
348,0.4152580873755993
349,0.4017223522079723
350,0.4824822211281945
351,0.4936274468062389
352,0.4387300322584083
353,0.4272887432075391
354,0.4319978947521723
355,0.4280919301146639
356,0.42945289936760994
357,0.4134166299080568
358,0.4012060733213822
359,0.4279678508207077
360,0.43870910730945917
361,0.439797861060526
362,0.3691724512548444
363,0.3627576500428036
364,0.3860282708181778
365,0.4480896677371383
366,0.41743164103142477
367,0.4122715286472537
368,0.4166632316521003
369,0.438799136964684
370,0.4596534357914671
371,0.3910103686350271
372,0.4167602241450291
373,0.4218528264173882
374,0.4602081483891983
375,0.4312920605383911
376,0.4788939259494084
377,0.436944273262368
378,0.4753347397459584
379,0.4464274113854431
380,0.3673372695114444
381,0.4280733355496748
382,0.4346360571128113
383,0.4732379958761001
384,0.5296837617879667
385,0.5227043599519866
386,0.48265468565181313
387,0.4833020122382365
388,0.46862632258503234
389,0.4228403721860432
390,0.4049312894918605
391,0.42949797551471586
392,0.3899511766212344
393,0.379494901374876
394,0.3719613358973024
395,0.3931643712104824
396,0.3668919612848314
397,0.4124708559234166
398,0.398652998951545
399,0.45271251264552415
400,0.3937569939872851
401,0.40805971765676385
402,0.4465864581049154
403,0.4618992450712513
404,0.40353941835840634
405,0.4560771921506805
406,0.4821498545244779
407,0.4953732383562211
408,0.3641990314848494
409,0.3840248090336034
410,0.4717721638593928
411,0.45036509834346533
412,0.3665042987764502
413,0.40320448718230073
414,0.3816016876103293
415,0.3947978021765023
416,0.415386842486767
417,0.4850713842738341
418,0.4445254578137702
419,0.4520861559872464
420,0.51799004453583
421,0.5551877182870882
422,0.5444760312684441
423,0.5732547428179573
424,0.5422607255000172
425,0.5274043077496217
426,0.5053710337113504
427,0.49762267278432704
428,0.4808649798667438
429,0.48459464495894766
430,0.43956340621325507
431,0.44386552975486654
432,0.43826514786509485
433,0.393063343423379
434,0.3316219685900869
435,0.3162449233275808
436,0.3406282471097854
437,0.3171356961202453
438,0.3298642462784401
439,0.350210239729924
440,0.3632163835552375
441,0.3624562256577264
442,0.40050411175784434
443,0.3602528698023781
444,0.3408666883473594
445,0.3427314593765203
446,0.3354736295068518
447,0.3506383155838923
448,0.3737546495123205
449,0.3718743880295833
450,0.3961721312320518
451,0.4083770825100516
452,0.371327869385941
453,0.40001901455445
454,0.4484382549006969
455,0.4437219571267536
456,0.480849708525201
457,0.4131552288713995
458,0.4562507593634737
459,0.4682940040314934
460,0.4198120652378374
461,0.3792183554042199
462,0.4104703711243197
463,0.3741768074628448
464,0.3765888415496869
465,0.3662278461868449
466,0.347176420260663
467,0.3639147883695728
468,0.3272688793696814
469,0.3382551170675636
470,0.3021930395645901
471,0.3292366372052747
472,0.280953618076455
473,0.2880027738697104
474,0.3293714102982259
475,0.3591374950410044
476,0.3525805289572793
477,0.43531601929693337
478,0.45874084236220114
479,0.4741974957777379
480,0.47523999176380893
481,0.4602212033654859
482,0.4807658885917282
483,0.4957233338573864
484,0.4956555283425598
485,0.44335243601387264
486,0.3837448328185475
487,0.4111318795089661
488,0.4378661503404346
489,0.3941486265739348
490,0.41786262912967426
491,0.4321929560275007
492,0.4691806488438421
493,0.4694299889515678
494,0.46114163775815376
495,0.42248589839796014
496,0.4711726578144214
497,0.3848116516918749
498,0.3589489230065317
499,0.3522519290781802
