Gen Number,Black Line Percentage
0,0.163787587971849
1,0.0
2,0.1625079974408189
3,0.182341650671785
4,0.2866282789507358
5,0.0620601407549584
6,0.1721049264235444
7,0.8029430582213691
8,0.8490083173384517
9,0.8080614203454894
10,0.2936660268714011
11,0.2610364683301343
12,0.7728726807421625
13,0.7607165706973769
14,0.7664747280870121
15,0.2789507357645553
16,0.7843889955214332
17,0.7600767754318618
18,0.7127319257837492
19,0.400511836212412
20,0.4817658349328215
21,0.4305822136916187
22,0.5361484325015995
23,0.3525271912987844
24,0.4664107485604606
25,0.4337811900191938
26,0.6065259117082533
27,0.3262955854126679
28,0.2757517594369801
29,0.473448496481126
30,0.3256557901471529
31,0.3173384516954574
32,0.3934740882917466
33,0.1855406269993602
34,0.7012156110044786
35,0.3288547664747281
36,0.7613563659628919
37,0.8464491362763915
38,0.3800383877159309
39,0.8029430582213691
40,0.8112603966730646
41,0.1944977607165707
42,0.8010236724248241
43,0.6525911708253359
44,0.8931541906589892
45,0.2277671145233525
46,0.1305182341650671
47,0.5886116442738324
48,0.2117722328854766
49,0.8272552783109405
50,0.3774792066538707
51,0.2380038387715931
52,0.0946896992962252
53,0.7786308381317978
54,0.3007037747920665
55,0.508637236084453
56,0.3071017274472168
57,0.5131158029430583
58,0.5150351887396033
59,0.2853486884197057
60,0.3493282149712092
61,0.581573896353167
62,0.581573896353167
63,0.5399872040946897
64,0.3192578374920025
65,0.436980166346769
66,0.7786308381317978
67,0.8067818298144593
68,0.6647472808701216
69,0.7939859245041587
70,0.8835572616762636
71,0.8771593090211133
72,0.783109404990403
73,0.7005758157389635
74,0.7875879718490083
75,0.6884197056941779
76,0.8042226487523992
77,0.7837492002559181
78,0.81829814459373
79,0.7709532949456174
80,0.5489443378119002
81,0.5374280230326296
82,0.5515035188739603
83,0.6026871401151631
84,0.4395393474088291
85,0.5239923224568138
86,0.5009596928982726
87,0.6417146513115803
88,0.6269993602047345
89,0.6711452335252719
90,0.708893154190659
91,0.8227767114523352
92,0.7671145233525272
93,0.6397952655150352
94,0.5962891874600128
95,0.5233525271912988
96,0.836212412028151
97,0.8298144593730007
98,0.8470889315419066
99,0.8643634037108126
100,0.8266154830454254
101,0.8342930262316058
102,0.854766474728087
103,0.8445297504798465
104,0.8438899552143314
105,0.855406269993602
106,0.8413307741522713
107,0.81829814459373
108,0.8566858605246321
109,0.8214971209213052
110,0.8592450415866922
111,0.8624440179142674
112,0.8349328214971209
113,0.8221369161868202
114,0.8771593090211133
115,0.8861164427383237
116,0.8701215611004478
117,0.872040946896993
118,0.8618042226487524
119,0.8771593090211133
120,0.8848368522072937
121,0.8758797184900832
122,0.872680742162508
123,0.8739603326935381
124,0.8624440179142674
125,0.8816378758797185
126,0.8746001279590531
127,0.8816378758797185
128,0.8688419705694178
129,0.8816378758797185
130,0.8835572616762636
131,0.8771593090211133
132,0.8873960332693538
133,0.8937939859245042
134,0.8835572616762636
135,0.9040307101727448
136,0.889315419065899
137,0.90722968650032
138,0.8937939859245042
139,0.90722968650032
140,0.8995521433141395
141,0.8822776711452335
142,0.9014715291106846
143,0.8937939859245042
144,0.8989123480486244
145,0.889315419065899
146,0.90978886756238
147,0.910428662827895
148,0.9014715291106846
149,0.9021113243761996
150,0.9033909149072296
151,0.9033909149072296
152,0.9155470249520152
153,0.9149072296865004
154,0.9168266154830454
155,0.9206653870761357
156,0.909149072296865
157,0.9238643634037108
158,0.9046705054382598
159,0.9251439539347408
160,0.9142674344209852
161,0.909149072296865
162,0.910428662827895
163,0.9193857965451055
164,0.9078694817658348
165,0.9213051823416508
166,0.9193857965451055
167,0.9187460012795904
168,0.9174664107485604
169,0.9161868202175304
170,0.9174664107485604
171,0.9078694817658348
172,0.9149072296865004
173,0.8931541906589892
174,0.9129878438899552
175,0.909149072296865
176,0.9078694817658348
177,0.9181062060140754
178,0.9187460012795904
179,0.9027511196417146
180,0.9040307101727448
181,0.9123480486244402
182,0.9200255918106206
183,0.9206653870761357
184,0.9206653870761357
185,0.9181062060140754
186,0.9149072296865004
187,0.909149072296865
188,0.90722968650032
189,0.9123480486244402
190,0.9123480486244402
191,0.9206653870761357
192,0.9187460012795904
193,0.9161868202175304
194,0.9302623160588612
195,0.927063339731286
196,0.9251439539347408
197,0.924504158669226
198,0.9360204734484964
199,0.9360204734484964
200,0.9289827255278312
201,0.9360204734484964
202,0.9225847728726808
203,0.9321817018554064
204,0.9232245681381958
205,0.9309021113243762
206,0.924504158669226
207,0.9321817018554064
208,0.9360204734484964
209,0.9232245681381958
210,0.9353806781829814
211,0.928342930262316
212,0.9360204734484964
213,0.9225847728726808
214,0.9289827255278312
215,0.924504158669226
216,0.9219449776071658
217,0.9296225207933462
218,0.9174664107485604
219,0.9264235444657708
220,0.9200255918106206
221,0.9289827255278312
222,0.924504158669226
223,0.9353806781829814
224,0.9321817018554064
225,0.9289827255278312
226,0.9321817018554064
227,0.9328214971209212
228,0.9264235444657708
229,0.9309021113243762
230,0.924504158669226
231,0.9328214971209212
232,0.9315419065898912
233,0.9309021113243762
234,0.9328214971209212
235,0.9315419065898912
236,0.9328214971209212
237,0.925783749200256
238,0.9302623160588612
239,0.927703134996801
240,0.9302623160588612
241,0.924504158669226
242,0.9315419065898912
243,0.9251439539347408
244,0.9315419065898912
245,0.925783749200256
246,0.9302623160588612
247,0.9328214971209212
248,0.925783749200256
249,0.927703134996801
250,0.9289827255278312
251,0.9238643634037108
252,0.927703134996801
253,0.9296225207933462
254,0.9328214971209212
255,0.9225847728726808
256,0.924504158669226
257,0.924504158669226
258,0.9328214971209212
259,0.9334612923864364
260,0.924504158669226
261,0.9302623160588612
262,0.9264235444657708
263,0.9251439539347408
264,0.9213051823416508
265,0.9264235444657708
266,0.9315419065898912
267,0.9251439539347408
268,0.925783749200256
269,0.927703134996801
270,0.9264235444657708
271,0.928342930262316
272,0.9296225207933462
273,0.9181062060140754
274,0.9309021113243762
275,0.9321817018554064
276,0.928342930262316
277,0.927063339731286
278,0.9264235444657708
