timesteps,learning_rate,entropy_loss,approx_kl,loss,policy_gradient_loss,clip_fraction,value_loss,explained_variance,std,n_updates,clip_range,ep_len_mean,ep_rew_mean
193280,0.0003,-2.667853665351868,0.003429418,24.51529884338379,-0.0018981954082846642,0.0015625,81.84293708801269,0.42673033475875854,0.9193712472915649,15090,0.2,22.274173101302292,-27.260846675910123
193408,0.0003,-2.671065938472748,0.0037702066,61.75334548950195,-0.0036585839465260507,0.0046875,387.79767990112305,0.47659194469451904,0.9205814003944397,15100,0.2,22.275627735544806,-27.273978594333027
193536,0.0003,-2.673402225971222,0.0010902407,125.05952453613281,-0.00041320975869894026,0.0,358.6674694061279,0.6066596508026123,0.9215314388275146,15110,0.2,22.278692298837342,-27.26477916429932
193664,0.0003,-2.6743844509124757,0.012471398,27.654205322265625,-0.0022503213956952097,0.05546875,66.78149089813232,0.2678440809249878,0.9211280941963196,15120,0.2,22.26747930082797,-27.264055104083926
193792,0.0003,-2.6721898794174193,0.017482959,41.958900451660156,-0.008913618139922619,0.07890625,172.67790336608886,0.14437490701675415,0.9196674227714539,15130,0.2,22.26691945306216,-27.26292202281952
193920,0.0003,-2.6700646042823792,0.017945077,2.3378958702087402,-0.0032764418050646783,0.12890625,74.00207031965256,0.49535071849823,0.919365644454956,15140,0.2,22.26504363803399,-27.253375370237908
194048,0.0003,-2.6704535126686095,0.014455754,43.182640075683594,-0.01213339865207672,0.11015625,80.37168827056885,-0.10099220275878906,0.9199570417404175,15150,0.2,22.265978198508318,-27.247343515945868
194176,0.0003,-2.671524775028229,0.015744058,32.43247985839844,-0.00500260442495346,0.14296875,162.83411264419556,0.34899646043777466,0.9206006526947021,15160,0.2,22.26198119697317,-27.24544442288373
194304,0.0003,-2.6718881130218506,0.0077436315,23.132543563842773,-0.005585974454879761,0.05234375,242.65747203826905,0.31121885776519775,0.9199262261390686,15170,0.2,22.256959560087065,-27.24094521966379
194432,0.0003,-2.6694804072380065,0.002883161,108.26074981689453,-0.0034815719351172446,0.0015625,196.02695808410644,0.26365429162979126,0.9182677865028381,15180,0.2,22.257927876359474,-27.244147682410226
194560,0.0003,-2.6664085745811463,0.0003505675,47.98344421386719,-0.00039930008351802827,0.0,87.23108577728271,0.4868183732032776,0.9177269339561462,15190,0.2,22.25786523281089,-27.253769904878
194688,0.0003,-2.6655943036079406,0.0031282054,104.21320343017578,-0.0020796790719032287,0.003125,210.4740837097168,0.05776101350784302,0.9170181751251221,15200,0.2,22.256773751000342,-27.26035635078519
194816,0.0003,-2.6638909697532656,0.00063179666,136.37237548828125,-0.00037634000182151794,0.0,244.75189971923828,0.2781755328178406,0.9164260625839233,15210,0.2,22.253598355037695,-27.253172967743797
194944,0.0003,-2.66430025100708,0.005332766,9.172179222106934,-0.0014010697603225708,0.009375,84.67312059402465,0.2787642478942871,0.917902946472168,15220,0.2,22.250770459993152,-27.24340603751483
195072,0.0003,-2.668702745437622,0.016305493,12.974203109741211,-0.01348158586770296,0.0921875,53.8152943611145,-0.1724085807800293,0.9198216199874878,15230,0.2,22.245524005017675,-27.245149913727982
195200,0.0003,-2.6698190689086916,0.0155135095,10.312094688415527,-0.00869591385126114,0.1921875,61.13077259063721,0.643576979637146,0.9183592796325684,15240,0.2,22.239831377463826,-27.237048165091508
